# Datafile for example 11
# Grid of data for vortex diagram

# x  y  velocity_x  velocity_y
 -6.500  -0.500   0.061  -0.795
 -6.500   0.500  -0.061  -0.795
 -6.500   1.500  -0.175  -0.760
 -6.500   2.500  -0.268  -0.697
 -6.500   3.500  -0.334  -0.620
 -6.500   4.500  -0.374  -0.541
 -6.500   5.500  -0.394  -0.466
 -6.500   6.500  -0.400  -0.400
 -6.500   7.500  -0.396  -0.343
 -6.500   8.500  -0.386  -0.295
 -6.500   9.500  -0.373  -0.255
 -5.500  -9.500   0.410  -0.237
 -5.500  -8.500   0.431  -0.279
 -5.500  -7.500   0.451  -0.331
 -5.500  -6.500   0.466  -0.394
 -5.500  -5.500   0.473  -0.473
 -5.500  -4.500   0.463  -0.566
 -5.500  -3.500   0.428  -0.673
 -5.500  -2.500   0.356  -0.784
 -5.500  -1.500   0.240  -0.880
 -5.500  -0.500   0.085  -0.938
 -5.500   0.500  -0.085  -0.938
 -5.500   1.500  -0.240  -0.880
 -5.500   2.500  -0.356  -0.784
 -5.500   3.500  -0.428  -0.673
 -5.500   4.500  -0.463  -0.566
 -5.500   5.500  -0.473  -0.473
 -5.500   6.500  -0.466  -0.394
 -5.500   7.500  -0.451  -0.331
 -5.500   8.500  -0.431  -0.279
 -5.500   9.500  -0.410  -0.237
 -4.500  -9.500   0.447  -0.212
 -4.500  -8.500   0.478  -0.253
 -4.500  -7.500   0.510  -0.306
 -4.500  -6.500   0.541  -0.374
 -4.500  -5.500   0.566  -0.463
 -4.500  -4.500   0.578  -0.578
 -4.500  -3.500   0.560  -0.720
 -4.500  -2.500   0.491  -0.883
 -4.500  -1.500   0.347  -1.040
 -4.500  -0.500   0.127  -1.141
 -4.500   0.500  -0.127  -1.141
 -4.500   1.500  -0.347  -1.040
 -4.500   2.500  -0.491  -0.883
 -4.500   3.500  -0.560  -0.720
 -4.500   4.500  -0.578  -0.578
 -4.500   5.500  -0.566  -0.463
 -4.500   6.500  -0.541  -0.374
 -4.500   7.500  -0.510  -0.306
 -4.500   8.500  -0.478  -0.253
 -4.500   9.500  -0.447  -0.212
 -3.500  -9.500   0.482  -0.178
 -3.500  -8.500   0.523  -0.215
 -3.500  -7.500   0.569  -0.266
 -3.500  -6.500   0.620  -0.334
 -3.500  -5.500   0.673  -0.428
 -3.500  -4.500   0.720  -0.560
 -3.500  -3.500   0.743  -0.743
 -3.500  -2.500   0.703  -0.984
 -3.500  -1.500   0.488  -1.138
 -3.500  -0.500   0.163  -1.138
 -3.500   0.500  -0.163  -1.138
 -3.500   1.500  -0.488  -1.138
 -3.500   2.500  -0.703  -0.984
 -3.500   3.500  -0.743  -0.743
 -3.500   4.500  -0.720  -0.560
 -3.500   5.500  -0.673  -0.428
 -3.500   6.500  -0.620  -0.334
 -3.500   7.500  -0.569  -0.266
 -3.500   8.500  -0.523  -0.215
 -3.500   9.500  -0.482  -0.178
 -2.500  -9.500   0.512  -0.135
 -2.500  -8.500   0.563  -0.166
 -2.500  -7.500   0.624  -0.208
 -2.500  -6.500   0.697  -0.268
 -2.500  -5.500   0.784  -0.356
 -2.500  -4.500   0.883  -0.491
 -2.500  -3.500   0.984  -0.703
 -2.500  -2.500   0.813  -0.812
 -2.500  -1.500   0.488  -0.813
 -2.500  -0.500   0.162  -0.813
 -2.500   0.500  -0.162  -0.813
 -2.500   1.500  -0.488  -0.813
 -2.500   2.500  -0.813  -0.812
 -2.500   3.500  -0.984  -0.703
 -2.500   4.500  -0.883  -0.491
 -2.500   5.500  -0.784  -0.356
 -2.500   6.500  -0.697  -0.268
 -2.500   7.500  -0.624  -0.208
 -2.500   8.500  -0.563  -0.166
 -2.500   9.500  -0.512  -0.135
 -1.500  -9.500   0.534  -0.084
 -1.500  -8.500   0.593  -0.105
 -1.500  -7.500   0.667  -0.133
 -1.500  -6.500   0.760  -0.175
 -1.500  -5.500   0.880  -0.240
 -1.500  -4.500   1.040  -0.347
 -1.500  -3.500   1.138  -0.487
 -1.500  -2.500   0.813  -0.487
 -1.500  -1.500   0.487  -0.487
 -1.500  -0.500   0.163  -0.488
 -1.500   0.500  -0.163  -0.488
 -1.500   1.500  -0.487  -0.487
 -1.500   2.500  -0.813  -0.487
 -1.500   3.500  -1.138  -0.487
 -1.500   4.500  -1.040  -0.347
 -1.500   5.500  -0.880  -0.240
 -1.500   6.500  -0.760  -0.175
 -1.500   7.500  -0.667  -0.133
 -1.500   8.500  -0.593  -0.105
 -1.500   9.500  -0.534  -0.084
 -0.500  -9.500   0.546  -0.029
 -0.500  -8.500   0.610  -0.036
 -0.500  -7.500   0.690  -0.046
 -0.500  -6.500   0.795  -0.061
 -0.500  -5.500   0.938  -0.085
 -0.500  -4.500   1.141  -0.127
 -0.500  -3.500   1.138  -0.163
 -0.500  -2.500   0.812  -0.163
 -0.500  -1.500   0.488  -0.163
 -0.500  -0.500   0.163  -0.163
 -0.500   0.500  -0.163  -0.163
 -0.500   1.500  -0.488  -0.163
 -0.500   2.500  -0.812  -0.163
 -0.500   3.500  -1.138  -0.163
 -0.500   4.500  -1.141  -0.127
 -0.500   5.500  -0.938  -0.085
 -0.500   6.500  -0.795  -0.061
 -0.500   7.500  -0.690  -0.046
 -0.500   8.500  -0.610  -0.036
 -0.500   9.500  -0.546  -0.029
  0.500  -9.500   0.546   0.029
  0.500  -8.500   0.610   0.036
  0.500  -7.500   0.690   0.046
  0.500  -6.500   0.795   0.061
  0.500  -5.500   0.938   0.085
  0.500  -4.500   1.141   0.127
  0.500  -3.500   1.138   0.162
  0.500  -2.500   0.812   0.162
  0.500  -1.500   0.488   0.163
  0.500  -0.500   0.163   0.163
  0.500   0.500  -0.163   0.163
  0.500   1.500  -0.488   0.163
  0.500   2.500  -0.812   0.162
  0.500   3.500  -1.138   0.162
  0.500   4.500  -1.141   0.127
  0.500   5.500  -0.938   0.085
  0.500   6.500  -0.795   0.061
  0.500   7.500  -0.690   0.046
  0.500   8.500  -0.610   0.036
  0.500   9.500  -0.546   0.029
  1.500  -9.500   0.534   0.084
  1.500  -8.500   0.593   0.105
  1.500  -7.500   0.667   0.133
  1.500  -6.500   0.760   0.175
  1.500  -5.500   0.880   0.240
  1.500  -4.500   1.040   0.347
  1.500  -3.500   1.138   0.488
  1.500  -2.500   0.813   0.487
  1.500  -1.500   0.487   0.487
  1.500  -0.500   0.163   0.488
  1.500   0.500  -0.163   0.488
  1.500   1.500  -0.487   0.487
  1.500   2.500  -0.813   0.487
  1.500   3.500  -1.138   0.488
  1.500   4.500  -1.040   0.347
  1.500   5.500  -0.880   0.240
  1.500   6.500  -0.760   0.175
  1.500   7.500  -0.667   0.133
  1.500   8.500  -0.593   0.105
  1.500   9.500  -0.534   0.084
  2.500  -9.500   0.512   0.135
  2.500  -8.500   0.563   0.166
  2.500  -7.500   0.624   0.208
  2.500  -6.500   0.697   0.268
  2.500  -5.500   0.784   0.356
  2.500  -4.500   0.883   0.491
  2.500  -3.500   0.984   0.703
  2.500  -2.500   0.812   0.813
  2.500  -1.500   0.488   0.813
  2.500  -0.500   0.162   0.812
  2.500   0.500  -0.162   0.812
  2.500   1.500  -0.488   0.813
  2.500   2.500  -0.812   0.813
  2.500   3.500  -0.984   0.703
  2.500   4.500  -0.883   0.491
  2.500   5.500  -0.784   0.356
  2.500   6.500  -0.697   0.268
  2.500   7.500  -0.624   0.208
  2.500   8.500  -0.563   0.166
  2.500   9.500  -0.512   0.135
  3.500  -9.500   0.482   0.178
  3.500  -8.500   0.523   0.215
  3.500  -7.500   0.569   0.266
  3.500  -6.500   0.620   0.334
  3.500  -5.500   0.673   0.428
  3.500  -4.500   0.720   0.560
  3.500  -3.500   0.743   0.743
  3.500  -2.500   0.703   0.984
  3.500  -1.500   0.488   1.138
  3.500  -0.500   0.163   1.138
  3.500   0.500  -0.163   1.138
  3.500   1.500  -0.488   1.138
  3.500   2.500  -0.703   0.984
  3.500   3.500  -0.743   0.743
  3.500   4.500  -0.720   0.560
  3.500   5.500  -0.673   0.428
  3.500   6.500  -0.620   0.334
  3.500   7.500  -0.569   0.266
  3.500   8.500  -0.523   0.215
  3.500   9.500  -0.482   0.178
  4.500  -9.500   0.447   0.212
  4.500  -8.500   0.478   0.253
  4.500  -7.500   0.510   0.306
  4.500  -6.500   0.541   0.374
  4.500  -5.500   0.566   0.463
  4.500  -4.500   0.578   0.578
  4.500  -3.500   0.560   0.720
  4.500  -2.500   0.491   0.883
  4.500  -1.500   0.347   1.040
  4.500  -0.500   0.127   1.141
  4.500   0.500  -0.127   1.141
  4.500   1.500  -0.347   1.040
  4.500   2.500  -0.491   0.883
  4.500   3.500  -0.560   0.720
  4.500   4.500  -0.578   0.578
  4.500   5.500  -0.566   0.463
  4.500   6.500  -0.541   0.374
  4.500   7.500  -0.510   0.306
  4.500   8.500  -0.478   0.253
  4.500   9.500  -0.447   0.212
  5.500  -9.500   0.410   0.237
  5.500  -8.500   0.431   0.279
  5.500  -7.500   0.451   0.331
  5.500  -6.500   0.466   0.394
  5.500  -5.500   0.473   0.473
  5.500  -4.500   0.463   0.566
  5.500  -3.500   0.428   0.673
  5.500  -2.500   0.356   0.784
  5.500  -1.500   0.240   0.880
  5.500  -0.500   0.085   0.938
  5.500   0.500  -0.085   0.938
  5.500   1.500  -0.240   0.880
  5.500   2.500  -0.356   0.784
  5.500   3.500  -0.428   0.673
  5.500   4.500  -0.463   0.566
  5.500   5.500  -0.473   0.473
  5.500   6.500  -0.466   0.394
  5.500   7.500  -0.451   0.331
  5.500   8.500  -0.431   0.279
  5.500   9.500  -0.410   0.237
  6.500  -9.500   0.373   0.255
  6.500  -8.500   0.386   0.295
  6.500  -7.500   0.396   0.343
  6.500  -6.500   0.400   0.400
  6.500  -5.500   0.394   0.466
  6.500  -4.500   0.374   0.541
  6.500  -3.500   0.334   0.620
  6.500  -2.500   0.268   0.697
  6.500  -1.500   0.175   0.760
  6.500  -0.500   0.061   0.795
  6.500   0.500  -0.061   0.795
  6.500   1.500  -0.175   0.760
  6.500   2.500  -0.268   0.697
  6.500   3.500  -0.334   0.620
  6.500   4.500  -0.374   0.541
  6.500   5.500  -0.394   0.466
  6.500   6.500  -0.400   0.400
  6.500   7.500  -0.396   0.343
  6.500   8.500  -0.386   0.295
  6.500   9.500  -0.373   0.255
  7.500  -9.500   0.337   0.266
  7.500  -8.500   0.344   0.304
  7.500  -7.500   0.347   0.347
  7.500  -6.500   0.343   0.396
  7.500  -5.500   0.331   0.451
  7.500  -4.500   0.306   0.510
  7.500  -3.500   0.266   0.569
  7.500  -2.500   0.208   0.624
  7.500  -1.500   0.133   0.667
  7.500  -0.500   0.046   0.690
  7.500   0.500  -0.046   0.690
  7.500   1.500  -0.133   0.667
  7.500   2.500  -0.208   0.624
  7.500   3.500  -0.266   0.569
  7.500   4.500  -0.306   0.510
  7.500   5.500  -0.331   0.451
  7.500   6.500  -0.343   0.396
  7.500   7.500  -0.347   0.347
  7.500   8.500  -0.344   0.304
  7.500   9.500  -0.337   0.266
  8.500  -9.500   0.304   0.272
  8.500  -8.500   0.306   0.306
  8.500  -7.500   0.304   0.344
  8.500  -6.500   0.295   0.386
  8.500  -5.500   0.279   0.431
  8.500  -4.500   0.253   0.478
  8.500  -3.500   0.215   0.523
  8.500  -2.500   0.166   0.563
  8.500  -1.500   0.105   0.593
  8.500  -0.500   0.036   0.610
  8.500   0.500  -0.036   0.610
  8.500   1.500  -0.105   0.593
  8.500   2.500  -0.166   0.563
  8.500   3.500  -0.215   0.523
  8.500   4.500  -0.253   0.478
  8.500   5.500  -0.279   0.431
  8.500   6.500  -0.295   0.386
  8.500   7.500  -0.304   0.344
  8.500   8.500  -0.306   0.306
  8.500   9.500  -0.304   0.272
  9.500  -9.500   0.274   0.274
  9.500  -8.500   0.272   0.304
  9.500  -7.500   0.266   0.337
  9.500  -6.500   0.255   0.373
  9.500  -5.500   0.237   0.410
  9.500  -4.500   0.212   0.447
  9.500  -3.500   0.178   0.482
  9.500  -2.500   0.135   0.512
  9.500  -1.500   0.084   0.534
  9.500  -0.500   0.029   0.546
  9.500   0.500  -0.029   0.546
  9.500   1.500  -0.084   0.534
  9.500   2.500  -0.135   0.512
  9.500   3.500  -0.178   0.482
  9.500   4.500  -0.212   0.447
  9.500   5.500  -0.237   0.410
  9.500   6.500  -0.255   0.373
  9.500   7.500  -0.266   0.337
  9.500   8.500  -0.272   0.304
  9.500   9.500  -0.274   0.274


# x_before y_before x_after y_after
 -0.770  -0.043  -1.369   0.283
 -0.707  -4.047  -0.884  -3.966
-10.770  -7.849 -10.923  -7.769
 -7.239  -2.913  -8.710  -2.819
  0.623   0.282   0.369   1.389
 -9.490  -7.914  -9.994  -7.768
 -5.035  -5.079  -5.883  -3.947
 -4.040  -4.793  -4.995  -3.412
  2.900   1.173   2.753   2.190
 -6.856  -5.221  -7.233  -4.937
 -1.243  -0.247  -2.061  -0.190
  8.191   7.961   7.663   8.218
 -2.717  -1.998  -3.918  -1.175
 -4.021  -5.114  -5.258  -3.737
 -7.237 -10.082  -8.690  -9.661
  4.208   7.679   4.044   7.784
  1.542   2.568   1.520   2.964
  7.563   4.148   6.352   5.374
 -4.560  -6.173  -4.785  -5.602
 -0.230  -2.741  -1.724  -2.117
  0.208   0.249   0.138   0.392
 -4.135  -1.520  -4.575  -0.591
  6.088   4.736   5.922   5.579
 -1.062  -4.922  -1.576  -3.980
  4.457   5.872   4.439   6.492
 -3.124  -0.768  -4.278   0.134
 -3.757  -4.446  -5.152  -3.511
 -2.522  -2.294  -3.763  -1.743
  2.182   4.025   1.568   4.726
 -4.672  -5.489  -4.742  -4.069
  1.347  -2.532   1.070  -1.389
 -7.695  -5.828  -8.641  -4.395
  2.324  -1.162   2.312  -1.129
 -4.446  -6.742  -5.059  -5.386
 -6.370  -5.844  -6.384  -4.456
  0.308   2.327   0.257   2.864
 -4.499  -2.324  -5.718  -1.882
-11.681 -11.417 -12.540 -11.269
  4.212   4.213   3.434   5.701
 -9.043  -6.346 -10.152  -5.879
  1.850   1.458   1.297   2.527
 -9.155  -8.565 -10.644  -7.273
 -6.493  -6.447  -7.715  -5.998
-11.490  -7.314 -11.972  -5.890
 -4.945  -7.218  -4.948  -6.675
  0.413   2.294  -0.415   2.902
  7.096   6.168   6.610   6.360
  2.822   1.982   1.749   2.549
 -7.336  -5.533  -8.142  -4.717
 -2.632  -3.008  -3.457  -2.021
